Source,Type,Target,Weight
AC Repairman,Undirected,Jeff,1
AC Repairman,Undirected,Larry,2
Aaron Burr,Undirected,Jeff,2
Aaron Burr,Undirected,Larry,2
Aaron Burr,Undirected,Lin,1
Admissions Person 1,Undirected,Admissions Person 2,1
Admissions Person 1,Undirected,Larry,1
Admissions Person 2,Undirected,Larry,1
Airplane Passenger,Undirected,Larry,1
Ambulance Driver,Undirected,Larry,1
Angry Muslim,Undirected,Larry,1
Bebe,Undirected,Dr. Winocur,3
Bebe,Undirected,Larry,7
Benjamin Franklin,Undirected,Larry,1
Benjamin Franklin,Undirected,Victor,1
Betty,Undirected,Jeff,1
Betty,Undirected,Larry,6
Betty,Undirected,Leon,1
Betty,Undirected,Numa,1
Betty,Undirected,Susie,1
Bridget,Undirected,Bridget's Friend,1
Bridget,Undirected,Brunch Waiter,2
Bridget,Undirected,Cheryl,5
Bridget,Undirected,Eddie,4
Bridget,Undirected,Funkhouser,4
Bridget,Undirected,Jeff,5
Bridget,Undirected,Larry,23
Bridget,Undirected,Leon,5
Bridget,Undirected,Marilyn,4
Bridget,Undirected,Rose Shapiro,1
Bridget,Undirected,Susie,5
Bridget,Undirected,Ted,5
Bridget,Undirected,The Shucker,2
Brunch People,Undirected,Funkhouser,1
Brunch People,Undirected,Larry,1
Brunch People,Undirected,Morsi,2
Brunch Waiter,Undirected,Funkhouser,1
Brunch Waiter,Undirected,Larry,2
Brunch Waiter,Undirected,Marilyn,1
Bus Driver 1,Undirected,Larry,1
Bus Driver 2,Undirected,Bus People,1
Bus Driver 2,Undirected,Larry,2
Bus Passenger 2,Undirected,Larry,1
Bus Passenger 3,Undirected,Larry,1
Bus People,Undirected,Larry,2
Butler,Undirected,Larry,1
Butler,Undirected,Salman Rushdie,1
Cesar,Undirected,Funkhouser,1
Cesar,Undirected,Larry,4
Chef Curtis,Undirected,Larry,1
Chef,Undirected,Cop (Officer Jenkins),1
Chef,Undirected,Elizabeth Banks,1
Chef,Undirected,Larry,2
Cheryl,Undirected,Funkhouser,2
Cheryl,Undirected,Jeff,9
Cheryl,Undirected,Larry,16
Cheryl,Undirected,Leon,5
Cheryl,Undirected,Officiant,1
Cheryl,Undirected,Rose Shapiro,1
Cheryl,Undirected,Sammi,1
Cheryl,Undirected,Sign Language Interpreter,1
Cheryl,Undirected,Susie,8
Cheryl,Undirected,Ted,13
